#TIC Period t0 Duration Depth SNR Depth_even Depth_odd Depth_half
253928535 1.1247494179056365 0.17750000000000002 0.075 170822.34771814756 5662223.461481382 179307.4237366017 162380.48940437107 82369.72614008936
441183795 0.6338410426070796 0.47000000000000003 0.13 103596.16997278128 5617021.654159014 103189.71418487659 103971.71818514724 95015.70815348324
31850842 2.3197128823516744 1.895 0.08 223200.82975600715 5612009.155961576 220573.490240769 225828.16927124525 142611.19291527357
350297825 0.9841490387711472 0.8049999999999999 0.2 101234.5457942322 5516633.039233861 114583.63605535222 87970.75323446115 9326.439058239324
41232835 0.478777525496619 0.19 0.05 130766.8886310582 5376278.137986197 130717.39531980512 130815.3951921393 147437.74365050337
441422220 3.701221738382058 3.6525000000000003 0.115 235680.15528891518 5350243.4238118045 236285.82593979815 235747.516752698 136297.1759384551
234505545 0.5269007999538656 0.22 0.2 80049.27316740002 5219358.122110625 88606.31686187118 72104.1379112277 1527.109393247717
259901124 0.4560925802846491 0.3975 0.095 95154.10686937072 5213373.554939232 95004.82912620564 95295.95137789164 122248.16128931244
141770299 0.4003089978359615 0.2625 0.085 93573.55294204869 5175107.557676274 94278.05666660923 92879.09817535235 121285.75198116935
279955276 0.5763029610773479 0.23500000000000001 0.2 79426.07824514834 5074508.271208591 79298.86620016056 79551.4219139965 38653.31381600028
263074592 8.033287269463113 3.495 0.2 213810.4820681753 5023648.692250547 216570.94979986057 211107.52408090007 153265.1008408419
53842685 0.5608347614835267 0.2475 0.075 109312.35860753218 5016291.565114321 113962.2566766242 104581.49216410272 4746.568337093871
200655763 0.4441076549837016 0.22 0.05 117215.41292794788 4997616.739524822 122367.8615323685 111762.92213571965 10229.867268564469
206555954 0.5912806298478731 0.3025 0.075 109330.05195209033 4938437.457554608 110375.14324621703 108276.00529126146 6947.744748735358
253932935 14.166462707309131 7.2775 0.065 744197.9806206784 4874230.0918681 0.0 744197.9806206783 242370.47452660475
212251604 0.4045323199455868 0.28 0.2 72521.3032207541 4867578.843635454 72507.21631913492 72535.73517232272 -36789.812444546704
166969516 0.4340023187188818 0.21750000000000003 0.085 91848.89466037105 4864440.845738088 92095.28370479266 91613.6104742895 119947.38871500528
276935996 2.1249553289454344 0.56 0.2 125057.28844141649 4821637.576384913 115492.57256589514 133944.45655716062 47234.46718539378
139841210 0.7445321130226908 0.315 0.08 109756.68195660452 4643516.031611609 122631.67593627158 96932.72858736214 53343.858000187225
270204401 2.2384727674119373 0.7475 0.125 151564.94304642364 4555900.286876053 152299.503954949 150957.0305704026 82677.15951637099
349832824 1.0405477175142932 0.27749999999999997 0.075 124482.84328810753 4344030.569507441 124128.57320344554 124887.39314008705 76906.22901653798
207080350 9.115233560628981 1.95 0.15 250874.06219238968 4316024.286363634 251618.60315543463 249463.72979123742 119479.29372750313
325469795 17.47121888880908 0.84 0.2 248017.74753085113 4175386.0940622655 189412.04379546677 306623.45126623544 167325.31667572085
260369118 0.5005090582954207 0.1225 0.125 71081.65503023873 4154037.2303888393 70203.2761841563 71960.03387632115 106727.97476859197
370237546 0.9994009414194538 0.19 0.2 76655.4120928802 4131965.27515738 86463.82266836613 67392.49600929291 27527.729258229774
238170857 0.5898625262374202 0.5225 0.075 91758.92850414172 4130558.188993903 91447.96461548706 92070.16000371604 5578.747237291781
441380191 0.4030101796339216 0.11 0.2 61323.92546021175 4119897.4312736434 62565.91946472348 60093.72080276265 -26590.07062287649
